Название,Цена,URL
Программирование для Android. Самоучитель. 3-е изд.,551.0,https://www.wildberries.ru/catalog/14193284/detail.aspx
Проекты с микроконтроллером в среде TinyGo и WebAssembly,922.0,https://www.wildberries.ru/catalog/59492897/detail.aspx
Решение задач стрельбы и баллистики,573.0,https://www.wildberries.ru/catalog/150764428/detail.aspx
Эффективный и современный С++,1411.0,https://www.wildberries.ru/catalog/10591274/detail.aspx
C# 7.0. Карманный справочник,393.0,https://www.wildberries.ru/catalog/35842852/detail.aspx
Разговорный гипноз: практический курс,729.0,https://www.wildberries.ru/catalog/234605369/detail.aspx
Программирование для начинающих: Особенности основных опе...,756.0,https://www.wildberries.ru/catalog/267614156/detail.aspx
Создание сайтов и лендингов на WordPress и Elementor с нуля,670.0,https://www.wildberries.ru/catalog/179728740/detail.aspx
Александр Дащинский. Самостоятельное создание сайта с нуля без знаний веб-программирования,584.0,https://www.wildberries.ru/catalog/43103321/detail.aspx
Атлас искусственного интеллекта: руководство для будущего,582.0,https://www.wildberries.ru/catalog/180393974/detail.aspx
"Объектно-ориентированный Python, 4-е изд.",1824.0,https://www.wildberries.ru/catalog/214152316/detail.aspx
Python для детей. Курс для начинающих,573.0,https://www.wildberries.ru/catalog/212026682/detail.aspx
Программирование инфраструктуры. 2-е изд.,1026.0,https://www.wildberries.ru/catalog/193701910/detail.aspx
Курс программирования на языке Си,1218.0,https://www.wildberries.ru/catalog/223859645/detail.aspx
"Программирование для детей, С, С++",612.0,https://www.wildberries.ru/catalog/35988025/detail.aspx
Программирование для детей. Мои первые программы на Scratch,288.0,https://www.wildberries.ru/catalog/5890113/detail.aspx
C# 10 и .NET 6. Современная кросс-платформенная разработка,2776.0,https://www.wildberries.ru/catalog/139842463/detail.aspx
Изучаем Python Том 2,1977.0,https://www.wildberries.ru/catalog/12539756/detail.aspx
Искусство программирования. Том 4А. Комб,3365.0,https://www.wildberries.ru/catalog/42782846/detail.aspx
Азы программирования. Книга для ученика 5-9 кл,924.0,https://www.wildberries.ru/catalog/280543707/detail.aspx
CLR via C#,1637.0,https://www.wildberries.ru/catalog/6612340/detail.aspx
ARDUINO От азов программирования до создан… книга Белов А.Н.,3011.0,https://www.wildberries.ru/catalog/274998343/detail.aspx
Программист-прагматик: 2-е изд,1044.0,https://www.wildberries.ru/catalog/35635086/detail.aspx
Чистый дизайн. Практика эмпирического проектирования ПО,648.0,https://www.wildberries.ru/catalog/223072380/detail.aspx
C++. Практика многопоточного программирования,1192.0,https://www.wildberries.ru/catalog/265967064/detail.aspx
"Привет, Pуthоn! Моя первая книга по программированию. 2-е изд",527.0,https://www.wildberries.ru/catalog/77231691/detail.aspx
Unity и C#. Геймдев от идеи до реализации. 2-е изд.,1874.0,https://www.wildberries.ru/catalog/7520861/detail.aspx
Основы построения и методы проектирования,489.0,https://www.wildberries.ru/catalog/38767594/detail.aspx
Made at Intel,606.0,https://www.wildberries.ru/catalog/205697408/detail.aspx
Competitive Programming 4 - Book 2. О...,743.0,https://www.wildberries.ru/catalog/70912798/detail.aspx
Основы Dart,1302.0,https://www.wildberries.ru/catalog/235390994/detail.aspx
Язык программирования Clarion 5.0: Неофициальное руководство,80.0,https://www.wildberries.ru/catalog/30314646/detail.aspx
WinRT: Программирование на C# для профес,268.0,https://www.wildberries.ru/catalog/61432803/detail.aspx
Python для юных программистов,688.0,https://www.wildberries.ru/catalog/67003734/detail.aspx
Веб-дизайн для недизайнеров,891.0,https://www.wildberries.ru/catalog/86132052/detail.aspx
Правила долгих и счастливых отношений : Психология отношений,418.0,https://www.wildberries.ru/catalog/234577138/detail.aspx
"Java на примерах. Практика, практика и только практика",384.0,https://www.wildberries.ru/catalog/75593312/detail.aspx
Продвинутые алгоритмы и структуры данных,2332.0,https://www.wildberries.ru/catalog/200704119/detail.aspx
Простой Python для опытных программистов,784.0,https://www.wildberries.ru/catalog/41145456/detail.aspx
Мифический человеко-месяц,1023.0,https://www.wildberries.ru/catalog/14329478/detail.aspx
Arduino. Полный учебный курс.,681.0,https://www.wildberries.ru/catalog/100054852/detail.aspx
Начинаем программировать на Python. 5-е изд.,1949.0,https://www.wildberries.ru/catalog/71390553/detail.aspx
Программирование Создаём виртуальный интеллект на JavaScript,150.0,https://www.wildberries.ru/catalog/138024085/detail.aspx
Основы машинного зрения в среде LabVIEW,413.0,https://www.wildberries.ru/catalog/21455496/detail.aspx
Учимся программировать с примерами на Py,2759.0,https://www.wildberries.ru/catalog/42782922/detail.aspx
Прикладные процессоры: введение в схемотехнику,1319.0,https://www.wildberries.ru/catalog/185041417/detail.aspx
Машинное обучение,575.0,https://www.wildberries.ru/catalog/20830415/detail.aspx
HTML5 + CSS3. Основы современного WEB-ди,616.0,https://www.wildberries.ru/catalog/64168086/detail.aspx
Профессиональный TypeScript,817.0,https://www.wildberries.ru/catalog/15668751/detail.aspx
"Си на примерах. Практика, практика и только практика",1842.0,https://www.wildberries.ru/catalog/272809800/detail.aspx
Моделирование в MATLAB с помощью Communications Toolbox,727.0,https://www.wildberries.ru/catalog/121014283/detail.aspx
Программирование на Objective-C,840.0,https://www.wildberries.ru/catalog/264916546/detail.aspx
Глубокое обучение с R и KERAS второе издание,1678.0,https://www.wildberries.ru/catalog/144637408/detail.aspx
Методы и алгоритмы решения прикладных задач,400.0,https://www.wildberries.ru/catalog/20830846/detail.aspx
Первая честная книга об отношениях,766.0,https://www.wildberries.ru/catalog/138836085/detail.aspx
1400 задач по программированию,486.0,https://www.wildberries.ru/catalog/223860043/detail.aspx
Методы и теория оптимизации: Планирование и управление. ...,1673.0,https://www.wildberries.ru/catalog/201788058/detail.aspx
Обработка древесины на станке с ЧПУ.Уч.пос.2изд,1298.0,https://www.wildberries.ru/catalog/258026313/detail.aspx
Рабочая тетрадь Реши пиши с наклейками Кубометрия от 6 лет,407.0,https://www.wildberries.ru/catalog/10162145/detail.aspx
Программирование на С++. Уолтер Савич. Савич Уолтер,3430.0,https://www.wildberries.ru/catalog/193545361/detail.aspx
Реактивное программирование на С ++,1524.0,https://www.wildberries.ru/catalog/223860191/detail.aspx
"Книга: Прохоренок Н. ""Python 3. Самое необходимое. 2-е изд.""",1134.0,https://www.wildberries.ru/catalog/138225682/detail.aspx
Язык программирования C. Лекции и упражн,2302.0,https://www.wildberries.ru/catalog/42783013/detail.aspx
"Программирование для детей. Создаем сайты, приложения и игры",837.0,https://www.wildberries.ru/catalog/255419637/detail.aspx
НЛП для чайников,1166.0,https://www.wildberries.ru/catalog/42782881/detail.aspx
Мультиагентное обучение с подкреплением: Учеебное пособи...,1312.0,https://www.wildberries.ru/catalog/148044019/detail.aspx
"Python. Великое программирование в Mi… книга Корягин Андрей,",3136.0,https://www.wildberries.ru/catalog/281968010/detail.aspx
Язык программирования C++. Лекции и упра,2709.0,https://www.wildberries.ru/catalog/42782763/detail.aspx
"Изучаем SQL. Генерация, выборка и обработка данных",1314.0,https://www.wildberries.ru/catalog/42783192/detail.aspx
Программирование на VBA в Excel. Самоучитель,750.0,https://www.wildberries.ru/catalog/195371448/detail.aspx
Подготовка к ЕГЭ по информатике в 2020 году,392.0,https://www.wildberries.ru/catalog/161216197/detail.aspx
Программирование компьютерной графики,1340.0,https://www.wildberries.ru/catalog/223859647/detail.aspx
Микроконтроллеры AVR семейства Mega.Руководство пользователя,1279.0,https://www.wildberries.ru/catalog/223859627/detail.aspx
Программирование на Scratch для детей. Уровень 1,907.0,https://www.wildberries.ru/catalog/197285516/detail.aspx
Программирование на ассемблере х64.,1584.0,https://www.wildberries.ru/catalog/223859590/detail.aspx
Программирование компьютерного зрения на Python,1157.0,https://www.wildberries.ru/catalog/223859611/detail.aspx
Современное программирование с нуля! Второе издание,974.0,https://www.wildberries.ru/catalog/223859617/detail.aspx
Программирование игр в Roblox Studio. Кн. 2,1498.0,https://www.wildberries.ru/catalog/41145462/detail.aspx
Руководство для программиста на Java,672.0,https://www.wildberries.ru/catalog/11455505/detail.aspx
Искусство программирования: В 4 т (комплект из 4-х книг),14259.0,https://www.wildberries.ru/catalog/190639405/detail.aspx
Конкретная математика,2336.0,https://www.wildberries.ru/catalog/35720734/detail.aspx
Kotlin. Программирование для профессионалов. 2-е изд.,1636.0,https://www.wildberries.ru/catalog/255409836/detail.aspx
Изучаем PHP 7,2213.0,https://www.wildberries.ru/catalog/35845435/detail.aspx
Краткосрочная психотерапия тревожных расстройств,527.0,https://www.wildberries.ru/catalog/159589694/detail.aspx
Программирование на Visual Basic и Visual C# для начинающ...,876.0,https://www.wildberries.ru/catalog/280136622/detail.aspx
"Задачи с решениями по высшей математике, теории вероятностей",1047.0,https://www.wildberries.ru/catalog/174500809/detail.aspx
Книга Искусство программирования. Том 3. Сортировка и,5678.0,https://www.wildberries.ru/catalog/276893432/detail.aspx
"Разработка интерфейса прикладных решений на платформе ""1...",855.0,https://www.wildberries.ru/catalog/199341730/detail.aspx
Android. Полное руководство по разработке приложений от,1038.0,https://www.wildberries.ru/catalog/225248594/detail.aspx
Применение пакета MATLAB для анализа резонансных явлений,290.0,https://www.wildberries.ru/catalog/21445739/detail.aspx
Занимательные задачи по программирова...,768.0,https://www.wildberries.ru/catalog/21897252/detail.aspx
Разработка и анализ компьютерных алгоритмов,1532.0,https://www.wildberries.ru/catalog/35815495/detail.aspx
"Высоконагруженные приложения. Программирование, масштаби...",1939.0,https://www.wildberries.ru/catalog/178262647/detail.aspx
Arduino. Большая книга рецептов. 3-е изд.,1609.0,https://www.wildberries.ru/catalog/33445073/detail.aspx
Python. Великое программирование в Minecraft,725.0,https://www.wildberries.ru/catalog/138778937/detail.aspx
Искусство программирования 1,3370.0,https://www.wildberries.ru/catalog/10591354/detail.aspx
Разработка Android-приложений с нуля. 3-е изд.,1239.0,https://www.wildberries.ru/catalog/145481604/detail.aspx
Принципы объектно-ориентированного программирования,1023.0,https://www.wildberries.ru/catalog/273783705/detail.aspx
Алгоритмы. Теория и практическое применение. 2-е издание,1183.0,https://www.wildberries.ru/catalog/41653225/detail.aspx
Задачи и методы линейного программирования. Книга 3: Задачи,1137.0,https://www.wildberries.ru/catalog/199550285/detail.aspx
Язык программирования Go,1530.0,https://www.wildberries.ru/catalog/35943464/detail.aspx
Программирование на языке RUBY,483.0,https://www.wildberries.ru/catalog/284212636/detail.aspx
1С:Счетчик ворон. Мастер-класс по разработке мобильного п...,632.0,https://www.wildberries.ru/catalog/139812779/detail.aspx
Внутреннее устройство Linux. 3-е изд.,1143.0,https://www.wildberries.ru/catalog/97021969/detail.aspx
Ти бот летит на помощь,391.0,https://www.wildberries.ru/catalog/42395196/detail.aspx
Грокаем алгоритмы,1065.0,https://www.wildberries.ru/catalog/160784161/detail.aspx
Искусство программирования. Том 2. Получ,3396.0,https://www.wildberries.ru/catalog/42782679/detail.aspx
Дисциплина программирования. Математи...,736.0,https://www.wildberries.ru/catalog/21876624/detail.aspx
Современный станок с ЧПУ и CAD/CAМ система,1524.0,https://www.wildberries.ru/catalog/223859585/detail.aspx
Изучаем C# через разработку игр на Unity. 5-е изд.,1576.0,https://www.wildberries.ru/catalog/252665689/detail.aspx
Грокаем алгоритмы. 2-е изд.,871.0,https://www.wildberries.ru/catalog/255976565/detail.aspx
Программирование на Python в примерах и задачах,973.0,https://www.wildberries.ru/catalog/235402547/detail.aspx
"Справочник PYTHON. Кратко, быстро, под рукой",478.0,https://www.wildberries.ru/catalog/64210821/detail.aspx
Книга Программирование для детей Научиться с 6 лет может каж,1008.0,https://www.wildberries.ru/catalog/270683619/detail.aspx
Разработка приложений для iPhone...,840.0,https://www.wildberries.ru/catalog/12539731/detail.aspx
Основы компиляции: инкрементный подход,1197.0,https://www.wildberries.ru/catalog/208202184/detail.aspx
"Scratch 3. Изучайте язык программирования, делая крутые игры",1095.0,https://www.wildberries.ru/catalog/216924074/detail.aspx
Ren'Py. Создаем игры и приложения,676.0,https://www.wildberries.ru/catalog/245355700/detail.aspx
Объектно Ориентированное Программирование. Настольная книга,659.0,https://www.wildberries.ru/catalog/209188652/detail.aspx
Программирование на VBA в Excel. Самоучитель,748.0,https://www.wildberries.ru/catalog/192185071/detail.aspx
Простой Python. Современный стиль программирования,1179.0,https://www.wildberries.ru/catalog/18567821/detail.aspx
Программирование на C++ в примерах и задачах,729.0,https://www.wildberries.ru/catalog/235426454/detail.aspx
Вып.139 Электронные модули стиральных машин,645.0,https://www.wildberries.ru/catalog/152653946/detail.aspx
Дискретная математика,819.0,https://www.wildberries.ru/catalog/19942757/detail.aspx
