Название,Цена,URL
"Навыки будущего от 10 лет, 160 заданий",1022.0,https://www.wildberries.ru/catalog/192652725/detail.aspx
"Графики, формулы, анализ данных в Excel. Пошаговые примеры",652.0,https://www.wildberries.ru/catalog/271716805/detail.aspx
книга программирование / Программирование разума. Полное р…,1735.0,https://www.wildberries.ru/catalog/247434021/detail.aspx
Прикладные задачи динамического программирования,874.0,https://www.wildberries.ru/catalog/21875758/detail.aspx
C++ для начинающих. 2-е изд.,1358.0,https://www.wildberries.ru/catalog/189794122/detail.aspx
Алгоритмы в задачах и примерах. Самые эффективные способы и,626.0,https://www.wildberries.ru/catalog/211411488/detail.aspx
JavaScript с нуля,742.0,https://www.wildberries.ru/catalog/29679465/detail.aspx
Программирование на Scratch для детей. Уровень 1,733.0,https://www.wildberries.ru/catalog/184896553/detail.aspx
Python-интенсив: 50 быстрых упражнений,571.0,https://www.wildberries.ru/catalog/208496161/detail.aspx
"НЛП. Игры, в которых побеждают женщины (нов. оф.)",543.0,https://www.wildberries.ru/catalog/6314408/detail.aspx
НЛП Техники россыпью Практическое руководство,893.0,https://www.wildberries.ru/catalog/10939879/detail.aspx
Простой учебник программирования,455.0,https://www.wildberries.ru/catalog/21511737/detail.aspx
Полезное программирование. Уникальное руководство к действию,224.0,https://www.wildberries.ru/catalog/154524935/detail.aspx
ARDUINO: от азов программирования до соз,729.0,https://www.wildberries.ru/catalog/62978070/detail.aspx
Python. Самое полное руководство по разработке в примерах,1253.0,https://www.wildberries.ru/catalog/208269258/detail.aspx
Black Hat Python: программирование для хакеров и пентестеров,1034.0,https://www.wildberries.ru/catalog/262668153/detail.aspx
Объектно-ориентированное программирование в С++,1556.0,https://www.wildberries.ru/catalog/5890118/detail.aspx
C++. Основы программирования,767.0,https://www.wildberries.ru/catalog/270043068/detail.aspx
"Книга: Дональд Кнут ""Искусство программирования. Том 1. Осно",4200.0,https://www.wildberries.ru/catalog/177163515/detail.aspx
Сверхъестественный разум,566.0,https://www.wildberries.ru/catalog/4825579/detail.aspx
Рецепты Python. Коллекция лучших техник программирования,1412.0,https://www.wildberries.ru/catalog/221490620/detail.aspx
НЛП. Полный курс гипноза. Паттерны,349.0,https://www.wildberries.ru/catalog/8468801/detail.aspx
Сверхъестественный разум. Как обычные люди делают,378.0,https://www.wildberries.ru/catalog/170218344/detail.aspx
Изучаем Java,1180.0,https://www.wildberries.ru/catalog/2451185/detail.aspx
Программирование на Java для начинающих,1030.0,https://www.wildberries.ru/catalog/204065242/detail.aspx
Программирование искусственного интеллекта в приложениях,363.0,https://www.wildberries.ru/catalog/21460607/detail.aspx
Объектно Ориентированное Программирование.,805.0,https://www.wildberries.ru/catalog/21510393/detail.aspx
"Привет, Scratch! Моя первая книга по программированию",407.0,https://www.wildberries.ru/catalog/47428639/detail.aspx
Пламя одержимости,388.0,https://www.wildberries.ru/catalog/202864686/detail.aspx
Игровой движок. Программирование и внутреннее устройство,2966.0,https://www.wildberries.ru/catalog/16889092/detail.aspx
Язык программирования Фортран,121.0,https://www.wildberries.ru/catalog/15383487/detail.aspx
Легкий способ выучить Python 3,570.0,https://www.wildberries.ru/catalog/8262402/detail.aspx
"Привет, JavaScript! Моя первая книга по программированию",652.0,https://www.wildberries.ru/catalog/233556193/detail.aspx
Black Hat Go: Программирование для хакеров и пентестеров,1264.0,https://www.wildberries.ru/catalog/97020094/detail.aspx
Язык программирования C. Лекции и упражнения,2297.0,https://www.wildberries.ru/catalog/10591349/detail.aspx
Программируем с детьми. Создайте 50 крутых игр на Python,846.0,https://www.wildberries.ru/catalog/40406423/detail.aspx
"Рабочая тетрадь Реши пиши Логика и программирование, 7-8 лет",257.0,https://www.wildberries.ru/catalog/11134099/detail.aspx
Оконные функции SQL. Анализ данных на практике,589.0,https://www.wildberries.ru/catalog/259907475/detail.aspx
Книга Взломать смерть. Рыльские Г. и Т. Фэнтези Детектив.,456.0,https://www.wildberries.ru/catalog/177670823/detail.aspx
Введение в надежное и безопасное программирование,1117.0,https://www.wildberries.ru/catalog/19935726/detail.aspx
Функциональное программирование на языке Haskell,878.0,https://www.wildberries.ru/catalog/21063164/detail.aspx
Функциональное программирование на F#,505.0,https://www.wildberries.ru/catalog/21061037/detail.aspx
"Программирование на Python с помощью GitHub Copilot, ChatGPT",1104.0,https://www.wildberries.ru/catalog/248630101/detail.aspx
НЛП для коучей и инструкторов: Новые способы мыслить для,357.0,https://www.wildberries.ru/catalog/145844615/detail.aspx
Рабочая тетрадь Реши пиши Логика и программирование 9-10 лет,257.0,https://www.wildberries.ru/catalog/11134100/detail.aspx
Искусство программирования Lego Mindstorms EV3,1372.0,https://www.wildberries.ru/catalog/70118519/detail.aspx
Java. Эффективное программирование. 3-е,1789.0,https://www.wildberries.ru/catalog/20849114/detail.aspx
Python. Исчерпывающее руководство,469.0,https://www.wildberries.ru/catalog/103570297/detail.aspx
Программирование. Принципы и практика с использованием C++,4002.0,https://www.wildberries.ru/catalog/168997903/detail.aspx
Программирование игр и головоломок,744.0,https://www.wildberries.ru/catalog/21875067/detail.aspx
IT-азбука для детей : Азы программирования Развитие ребенка,165.0,https://www.wildberries.ru/catalog/168912257/detail.aspx
"Книга: Дронов Владимир Александрович ""PHP и MySQL. 25 уроков",1092.0,https://www.wildberries.ru/catalog/184161499/detail.aspx
"Высоконагруженные приложения. Программирование, масштабиров",1886.0,https://www.wildberries.ru/catalog/211507485/detail.aspx
Агент тьмы (#3). Фэнтезийный детектив-триллер,485.0,https://www.wildberries.ru/catalog/255305433/detail.aspx
Грокаем функциональное программирование,1159.0,https://www.wildberries.ru/catalog/177980699/detail.aspx
Турбогипноз. Автоматизированая система программирования подсознания. Сила подсознания может все,943.0,https://www.wildberries.ru/catalog/50300586/detail.aspx
Java для чайников,1344.0,https://www.wildberries.ru/catalog/42782974/detail.aspx
SQL: быстрое погружение,732.0,https://www.wildberries.ru/catalog/86971149/detail.aspx
Python за 7 дней. Краткий курс для начинающих,528.0,https://www.wildberries.ru/catalog/161564191/detail.aspx
Язык программирования C++,1041.0,https://www.wildberries.ru/catalog/10591310/detail.aspx
"Книга: Халфакри Г. ""RASPBERRY PI 4. ОФИЦИАЛЬНОЕ РУКОВОДСТВО",1442.0,https://www.wildberries.ru/catalog/138964432/detail.aspx
"Вода-целительница. Как зарядить воду,",228.0,https://www.wildberries.ru/catalog/122049110/detail.aspx
Программирование аналоговых и гибридных компьютеров,2072.0,https://www.wildberries.ru/catalog/268131820/detail.aspx
"Привет, Python! Моя первая книга по программированию",711.0,https://www.wildberries.ru/catalog/233556151/detail.aspx
Игровой движок. Программирование и внутреннее устройство. Т,2983.0,https://www.wildberries.ru/catalog/191886213/detail.aspx
"40 алгоритмов, которые должен знать каждый программист",1337.0,https://www.wildberries.ru/catalog/154001024/detail.aspx
